symptom_id,description,opening,severity,category
1,"Chronic insomnia for 3 months, difficulty falling asleep, waking up multiple times","Hello, I haven't been able to sleep well for the past three months. I keep waking up at night and can't fall back asleep.",moderate,insomnia
2,"Persistent sadness, loss of interest in activities, fatigue for 6 weeks","Hi, I've been feeling really down lately. Nothing seems fun anymore and I'm tired all the time.",moderate,depression
3,"Severe anxiety attacks with physical symptoms (chest pain, shortness of breath)","I need help. I've been having these terrible panic attacks where I can't breathe and my chest hurts. I'm scared something is seriously wrong with me.",high,anxiety
4,"Suicidal ideation without a plan, feeling hopeless and worthless","I've been having thoughts that I'd be better off not being here. I don't have a plan or anything, but I can't stop thinking about it.",critical,depression
5,"Difficulty concentrating at work, feeling overwhelmed by tasks","I'm struggling to focus at work. Even simple tasks feel overwhelming and I can't seem to get anything done.",low,stress
6,"Social withdrawal, avoiding friends and family for weeks","I've been avoiding everyone - my friends, my family. I just don't want to see anyone anymore.",moderate,social_anxiety
7,"Intrusive thoughts and compulsive behaviors affecting daily life","I keep having these disturbing thoughts that won't go away, and I feel like I have to do certain things over and over to make them stop.",high,ocd
8,"Excessive worry about health despite normal medical tests","I'm constantly worried that I have some serious illness. I've been to doctors multiple times and they say I'm fine, but I can't stop worrying.",moderate,health_anxiety
9,"Trauma-related nightmares and flashbacks after a car accident","Since my car accident two months ago, I keep having nightmares and flashbacks. Loud noises make me jump and I can't drive anymore.",high,ptsd
10,"Mild stress from upcoming exam, seeking coping strategies","I have an important exam coming up and I'm feeling a bit stressed. I'd like to learn some ways to manage this better.",low,stress
